[2022-06-21 13:08:43] [info]  [ 4608] Apache Commons Daemon procrun (1.2.4.0 64-bit) started.
[2022-06-21 13:08:49] [info]  [ 4608] Running Service 'Tomcat9'...
[2022-06-21 13:08:49] [info]  [ 6600] Starting service...
[2022-06-21 13:08:51] [info]  [ 6600] Service started in 1580 milliseconds.
[2022-06-21 13:09:41] [info]  [ 3932] Console SHUTDOWN event signaled.
[2022-06-21 13:09:41] [info]  [ 3932] Stopping service...
[2022-06-21 13:09:42] [info]  [ 3932] Service stop thread completed.
[2022-06-21 13:09:42] [info]  [ 4608] Run service finished.
[2022-06-21 13:09:42] [info]  [ 4608] Apache Commons Daemon procrun finished.
[2022-06-21 15:44:39] [info]  [ 4872] Apache Commons Daemon procrun (1.2.4.0 64-bit) started.
[2022-06-21 15:44:39] [info]  [ 4872] Running Service 'Tomcat9'...
[2022-06-21 15:44:39] [info]  [ 5900] Starting service...
[2022-06-21 15:44:41] [info]  [ 5900] Service started in 1687 milliseconds.
[2022-06-27 19:23:41] [info]  [17212] Console SHUTDOWN event signaled.
[2022-06-27 19:23:41] [info]  [17212] Stopping service...
[2022-06-27 19:23:42] [info]  [17212] Service stop thread completed.
[2022-06-27 19:23:42] [info]  [ 4872] Run service finished.
[2022-06-27 19:23:42] [info]  [ 4872] Apache Commons Daemon procrun finished.
